Time (seconds),light,sound,temp,movement
23.91,97,,,
23.91,,18,,
23.92,,,22,
23.93,100,,,
23.94,,93,,
23.95,,,22,
24.03,,,,1373
24.15,118,,,
24.31,,11,,
24.42,,,22,
24.52,,,,1058
24.64,136,,,
24.80,,60,,
24.90,,,22,
25.00,,,,786
25.12,145,,,
25.28,,18,,
25.38,,,22,
25.48,,,,1016
25.60,166,,,
25.76,,45,,
25.87,,,22,
25.97,,,,1150
26.09,154,,,
26.25,,37,,
26.35,,,22,
26.45,,,,1042
26.57,154,,,
26.73,,33,,
26.84,,,22,
26.94,,,,1037
27.06,139,,,
27.22,,7,,
27.32,,,22,
27.42,,,,936
27.54,140,,,
27.70,,22,,
27.80,,,22,
27.90,,,,966
28.02,145,,,
28.18,,90,,
28.28,,,22,
28.38,,,,1184
28.50,0,,,
28.67,,86,,
28.77,,,23,
28.87,,,,1059
28.99,0,,,
29.15,,101,,
29.25,,,23,
29.35,,,,1533
29.47,0,,,
29.64,,26,,
29.74,,,22,
29.84,,,,970
29.96,0,,,
30.12,,33,,
30.22,,,22,
30.32,,,,855
30.44,0,,,
30.60,,48,,
30.70,,,22,
30.80,,,,1111
30.92,0,,,
31.09,,75,,
31.19,,,22,
31.29,,,,982
31.41,0,,,
31.57,,82,,
31.67,,,22,
31.77,,,,1019
31.89,0,,,
32.05,,75,,
32.16,,,22,
32.26,,,,1029
32.38,0,,,
32.54,,120,,
32.64,,,22,
32.74,,,,893
32.86,0,,,
33.02,,67,,
33.12,,,22,
33.23,,,,1081
33.35,0,,,
33.51,,75,,
33.61,,,22,
33.71,,,,1050
33.83,0,,,
33.99,,82,,
34.09,,,22,
34.19,,,,852
34.31,0,,,
34.47,,105,,
34.58,,,22,
34.68,,,,1040
34.80,0,,,
34.96,,71,,
35.06,,,22,
35.16,,,,825
35.28,0,,,
35.44,,108,,
35.54,,,22,
35.64,,,,1002
35.76,0,,,
35.93,,105,,
36.03,,,22,
36.13,,,,1024
36.25,0,,,
36.41,,105,,
36.51,,,22,
36.61,,,,1051
36.73,0,,,
36.89,,82,,
37.00,,,22,
37.10,,,,1105
37.22,0,,,
37.38,,56,,
37.48,,,22,
37.58,,,,1083
37.70,0,,,
37.86,,48,,
37.96,,,22,
38.06,,,,1050
38.18,0,,,
38.34,,112,,
38.45,,,22,
38.55,,,,1056
38.67,0,,,
38.83,,75,,
38.93,,,22,
39.03,,,,1044
39.15,0,,,
39.31,,26,,
39.42,,,22,
39.52,,,,1058
39.64,0,,,
39.80,,78,,
39.90,,,22,
40.00,,,,1059
40.12,0,,,
40.28,,33,,
40.38,,,22,
40.48,,,,1063
40.60,0,,,
40.76,,33,,
40.86,,,22,
40.96,,,,776
41.08,0,,,
41.25,,75,,
41.35,,,22,
41.45,,,,1070
41.57,0,,,
41.73,,56,,
41.83,,,22,
41.93,,,,1063
42.06,0,,,
42.21,,71,,
42.32,,,22,
42.42,,,,1090
42.54,0,,,
42.70,,90,,
42.80,,,22,
42.90,,,,1221
43.02,0,,,
43.18,,105,,
43.28,,,22,
43.38,,,,1101
43.50,0,,,
43.67,,101,,
43.77,,,22,
43.87,,,,952
43.99,0,,,
44.15,,60,,
44.25,,,22,
44.35,,,,1057
44.47,0,,,
44.63,,60,,
44.74,,,22,
44.84,,,,1161
44.96,0,,,
45.12,,60,,
45.22,,,22,
45.32,,,,1131
45.44,0,,,
45.60,,67,,
45.70,,,22,
45.81,,,,1058
45.92,0,,,
46.09,,97,,
46.19,,,22,
46.29,,,,1018
46.41,0,,,
46.57,,82,,
46.67,,,22,
46.77,,,,1073
46.89,0,,,
47.05,,75,,
47.16,,,22,
47.26,,,,1079
47.38,0,,,
47.54,,78,,
47.64,,,22,
47.74,,,,1062
47.86,0,,,
48.02,,82,,
48.12,,,22,
48.22,,,,1076
48.34,0,,,
48.51,,60,,
48.61,,,22,
48.71,,,,1057
48.83,0,,,
48.99,,56,,
49.09,,,22,
49.19,,,,1072
49.31,0,,,
49.47,,116,,
49.58,,,22,
49.68,,,,1069
49.80,0,,,
49.96,,56,,
50.06,,,22,
50.16,,,,1063
50.28,0,,,
50.44,,52,,
50.54,,,22,
50.64,,,,1062
50.77,0,,,
50.92,,52,,
51.03,,,22,
51.13,,,,1056
51.25,0,,,
51.41,,37,,
51.51,,,22,
51.61,,,,1069
51.73,0,,,
51.89,,56,,
52.00,,,22,
52.10,,,,1071
52.22,0,,,
52.38,,52,,
52.48,,,22,
52.58,,,,1061
52.70,0,,,
52.86,,41,,
52.96,,,22,
53.06,,,,1068
53.18,0,,,
53.34,,56,,
53.44,,,22,
53.54,,,,1058
53.66,0,,,
53.83,,41,,
53.93,,,22,
54.03,,,,1066
54.15,0,,,
54.31,,45,,
54.41,,,22,
54.51,,,,1087
54.63,0,,,
54.80,,52,,
54.90,,,22,
55.00,,,,1058
55.12,0,,,
55.28,,41,,
55.38,,,22,
55.48,,,,1083
55.60,0,,,
55.76,,33,,
55.86,,,22,
55.96,,,,1047
56.09,0,,,
56.25,,33,,
56.35,,,22,
56.45,,,,1062
56.57,0,,,
56.73,,22,,
56.83,,,22,
56.93,,,,1064
57.05,0,,,
57.21,,48,,
57.32,,,22,
57.42,,,,1060
57.54,0,,,
57.70,,15,,
57.80,,,22,
57.90,,,,1079
58.02,0,,,
58.18,,7,,
58.28,,,22,
58.39,,,,1064
58.50,0,,,
58.67,,22,,
58.77,,,22,
58.87,,,,1070
58.99,0,,,
59.15,,37,,
59.25,,,22,
59.35,,,,1061
59.47,0,,,
59.63,,37,,
59.74,,,22,
59.84,,,,1072
59.96,0,,,
60.12,,56,,
60.22,,,22,
60.32,,,,1051
60.44,0,,,
60.60,,26,,
60.70,,,22,
60.80,,,,1071
60.92,0,,,
61.08,,67,,
61.19,,,22,
61.29,,,,1068
61.41,0,,,
61.57,,86,,
61.67,,,22,
61.77,,,,1061
61.89,0,,,
62.05,,37,,
62.16,,,22,
62.26,,,,1072
62.38,0,,,
62.54,,41,,
62.64,,,22,
62.74,,,,1062
62.86,0,,,
63.02,,108,,
63.12,,,22,
63.22,,,,1069
63.34,0,,,
63.50,,52,,
63.61,,,22,
63.71,,,,1076
63.83,0,,,
63.99,,63,,
64.09,,,22,
64.19,,,,1063
64.31,0,,,
64.47,,71,,
64.57,,,22,
64.67,,,,1048
64.80,0,,,
64.96,,56,,
65.06,,,22,
65.16,,,,1064
65.28,0,,,
65.44,,56,,
65.54,,,22,
65.64,,,,1091
65.76,0,,,
65.92,,56,,
66.02,,,22,
66.12,,,,1078
66.25,0,,,
66.41,,37,,
66.51,,,22,
66.61,,,,1064
66.73,0,,,
66.89,,18,,
66.99,,,22,
67.09,,,,1059
67.21,0,,,
67.37,,33,,
67.48,,,22,
67.58,,,,1040
67.70,0,,,
67.86,,18,,
67.96,,,22,
68.06,,,,1048
68.18,0,,,
68.34,,0,,
68.44,,,22,
68.54,,,,1073
68.66,0,,,
68.83,,22,,
68.93,,,22,
69.03,,,,1053
69.15,0,,,
69.31,,11,,
69.41,,,22,
69.51,,,,1066
69.63,0,,,
69.79,,33,,
69.90,,,22,
70.00,,,,1046
70.12,0,,,
70.28,,11,,
70.38,,,22,
70.48,,,,1056
70.60,0,,,
70.76,,7,,
70.86,,,22,
70.96,,,,1064
71.08,0,,,
71.25,,22,,
71.35,,,22,
71.45,,,,1087
71.57,0,,,
71.73,,56,,
71.83,,,22,
71.93,,,,866
72.05,0,,,
72.21,,18,,
72.32,,,22,
72.42,,,,1066
72.54,0,,,
72.70,,18,,
72.80,,,22,
72.90,,,,893
73.02,0,,,
73.18,,41,,
73.28,,,22,
73.38,,,,1059
73.50,0,,,
73.66,,78,,
73.77,,,22,
73.87,,,,1066
73.99,0,,,
74.15,,30,,
74.25,,,22,
74.35,,,,1061
74.47,0,,,
74.63,,52,,
74.74,,,22,
74.84,,,,1072
74.96,0,,,
75.12,,45,,
75.22,,,22,
75.32,,,,1059
75.44,0,,,
75.60,,116,,
75.70,,,22,
75.80,,,,1058
75.92,0,,,
76.08,,22,,
76.19,,,22,
76.29,,,,1061
76.41,0,,,
76.57,,82,,
76.67,,,22,
76.77,,,,1057
76.89,0,,,
77.05,,82,,
77.15,,,22,
77.25,,,,1064
77.37,0,,,
77.54,,41,,
77.64,,,22,
77.74,,,,1057
77.86,0,,,
78.02,,78,,
78.12,,,22,
78.22,,,,1067
78.34,0,,,
78.50,,60,,
78.60,,,22,
78.70,,,,1058
78.83,0,,,
78.99,,112,,
79.09,,,22,
79.19,,,,1059
79.31,0,,,
79.47,,45,,
79.57,,,22,
79.67,,,,1061
79.79,0,,,
79.95,,18,,
80.06,,,22,
80.16,,,,1052
80.28,0,,,
80.44,,26,,
80.54,,,22,
80.64,,,,1070
80.76,0,,,
80.92,,37,,
81.02,,,22,
81.12,,,,1042
81.24,0,,,
81.41,,7,,
81.51,,,22,
81.61,,,,1042
81.73,0,,,
81.89,,30,,
81.99,,,22,
82.09,,,,1048
82.21,0,,,
82.37,,37,,
82.48,,,22,
82.58,,,,1055
82.70,0,,,
82.86,,7,,
82.96,,,22,
83.06,,,,1057
83.18,0,,,
83.34,,37,,
83.44,,,22,
83.54,,,,1048
83.66,0,,,
83.83,,138,,
83.93,,,22,
84.03,,,,1071
84.15,0,,,
84.31,,37,,
84.41,,,22,
84.51,,,,1062
84.63,0,,,
84.79,,15,,
84.90,,,22,
85.00,,,,1082
85.12,0,,,
85.28,,82,,
85.38,,,22,
85.48,,,,1080
85.60,0,,,
85.76,,18,,
85.86,,,22,
85.96,,,,1088
86.08,0,,,
86.24,,30,,
86.35,,,22,
86.45,,,,1074
86.57,0,,,
86.73,,41,,
86.83,,,22,
86.93,,,,1076
87.05,0,,,
87.21,,82,,
87.32,,,22,
87.42,,,,1070
87.54,0,,,
87.70,,33,,
87.80,,,22,
87.90,,,,1067
88.02,0,,,
88.18,,67,,
88.28,,,22,
88.38,,,,1056
88.50,0,,,
88.66,,30,,
88.76,,,22,
88.86,,,,1061
88.99,0,,,
89.15,,15,,
89.25,,,22,
89.35,,,,1058
89.47,0,,,
89.63,,37,,
89.73,,,22,
89.83,,,,1065
89.95,0,,,
90.12,,67,,
90.22,,,22,
90.32,,,,1051
90.44,0,,,
90.60,,75,,
90.70,,,22,
90.80,,,,1055
90.92,0,,,
91.08,,33,,
91.18,,,22,
91.28,,,,1035
91.40,0,,,
91.57,,41,,
91.67,,,22,
91.77,,,,1041
91.89,0,,,
92.05,,33,,
92.15,,,22,
92.25,,,,1044
92.37,0,,,
92.53,,45,,
92.64,,,22,
92.74,,,,1052
92.86,0,,,
93.02,,56,,
93.12,,,22,
93.22,,,,1040
93.34,0,,,
93.50,,7,,
93.60,,,22,
93.70,,,,1049
93.82,0,,,
93.99,,78,,
94.09,,,22,
94.19,,,,1046
94.31,0,,,
94.47,,41,,
94.57,,,22,
94.67,,,,1046
94.79,0,,,
94.95,,7,,
95.06,,,22,
95.16,,,,1042
95.28,0,,,
